City,2015,2016,2017,2018,2019,2020,2021
Guadalupe,247948.8,287166.1,309322.7,335349.4,348152.9,361997.9,418749.9
Gualala,431423.2,438635.1,483126.4,518630.6,530289.3,543986.8,631532.2
Guerneville,350475.7,399146.2,432735.7,478177,472330.2,474024.5,538358.9
Gustine,187119.4,209355.8,235751.9,257573.4,282005.5,303513.9,359173.8
Hacienda Heights,503235.3,511563.6,558325.1,609845.8,628782.4,658507.6,751532.6
Half Moon Bay,932006.3,1045629,1105987.2,1216319.1,1188703.7,1214077.8,1401060.9
Hamilton City,131827.1,147394,160565.5,176572,194796.8,212195.9,251060.3
Hanford,183913.9,197654,216098,230731.3,242432.1,256700,298467
Happy Camp,89589.4,102815.5,104719.1,115407.6,123412.7,124406,148472.1
Hawaiian Gardens,298857.5,316763.6,351075.7,401146,424642.2,450867.4,515682.5
Hawthorne,445505.7,471593.2,525671.2,609803.6,648074.9,689175.7,779876.5
Hayfork,174219.6,200505.2,232413.3,239610.7,228847.3,247973.8,287384.5
Hayward,484085.7,545263.4,593903.3,673015.2,674078.2,694024,812186.7
Healdsburg,761676.5,859819.7,902415.7,972890.4,976359.7,972890,1074944.7
Heber,189237.2,204711.5,214769.2,228000.6,245113.9,266370.4,296303.7
Helendale,184454.4,194624.7,211893,234067.8,238335.3,251538.8,312710.4
Hemet,195924.4,213265.5,233810,264308.8,275354.5,291461.8,351736.6
Herald,418873.9,461754.2,509507.3,552074.9,570695.5,584337,721440.1
Herlong,46468.2,59462,70236.9,83572.4,86876.3,82705.8,103529.5
Hermosa Beach,1270623.4,1299188.7,1430798.5,1659579.7,1717006.9,1743724.8,1994197.6
Hesperia,193804.1,210302.3,236604.5,268621.4,276116.9,294685.7,362300
Hickman,355522.4,385662.2,410699.3,441856.9,459087.4,483224.9,568672.1
Hidden Hills,2186771.6,2164361.4,2456879.4,3037721.3,3317921,3442092.7,4106707.3
Hidden Valley Lake,227779.7,254747.7,279004.4,306585.4,322937.5,326477,369068
Highland,255786,270990.4,295198.9,329110.9,337202.1,355308.4,421473.4
